model,accuracy,precision,recall,f1_score
Random Forest,0.9661538461538461,0.9595744680851064,0.9698924731182795,0.9647058823529412
Logistic Regression,0.9784615384615385,0.9703389830508474,0.9849462365591398,0.9775880469583778
